loss_fn,kappa,alpha,lr,dropout,patch_size,batch_size,n_layers,base_channels,weight_decay,oversample_factor,global_mae,global_rmse,city_mae,city_rmse,train_city_rmse,city_underprediction,pred_max
huber,28,1.5,1.9223055509735513e-05,0.3,8,32,3,32,1.750141363533177e-06,5,0.09946157783269882,0.10925596207380295,0.06748427450656891,0.09002808481454849,0.14918187260627747,0.004300806205719709,0.29880374670028687
weighted_mse,5,3.5,0.00017719062925022008,0.2,8,16,2,32,0.0002499093786031677,5,0.047108639031648636,0.053239256143569946,0.08002805709838867,0.10533459484577179,0.11096783727407455,0.06552815437316895,0.33855104446411133
weibull,5,2,2.4294151476883745e-05,0.1,8,32,2,32,4.77700532953573e-06,10,0.037643589079380035,0.04492199793457985,0.09060391038656235,0.11241013556718826,0.20544975996017456,0.05792807415127754,0.404427707195282
weighted_mse,45,3.5,7.724243797188724e-05,0.2,8,32,3,32,1.5284981211822435e-06,40,0.11318915337324142,0.11731481552124023,0.053019288927316666,0.08034404367208481,0.09180322289466858,0.027485523372888565,0.3069811165332794
weighted_mse,28,3.5,2.0389013705760865e-05,0.2,8,32,3,32,2.8821367574069056e-05,40,0.1988355964422226,0.20207948982715607,0.07114232331514359,0.0861140564084053,0.1003076508641243,-0.038955122232437134,0.335803359746933
huber,45,1.5,0.00015721464839451907,0.2,8,16,2,32,4.458842731358319e-05,20,0.040614187717437744,0.048593927174806595,0.07333386689424515,0.10228324681520462,0.10716598480939865,0.056545745581388474,0.30021384358406067
weibull,45,2.75,3.2572770059347654e-05,0.1,8,32,2,32,6.235184543276718e-05,5,0.11188793927431107,0.11639635264873505,0.057312145829200745,0.08259133249521255,0.12837183475494385,0.020216815173625946,0.3397432863712311
weighted_mse,45,2.75,9.142760820318096e-05,0.3,8,16,3,32,2.5836817354360533e-06,20,0.10382501035928726,0.10781053453683853,0.054484352469444275,0.08423435688018799,0.10786621272563934,0.03504091128706932,0.3020119369029999
huber,15,3.5,4.6227849781332585e-05,0.3,8,32,3,32,1.7171170735157777e-06,40,0.13358089327812195,0.13997678458690643,0.080925352871418,0.09849564731121063,0.12120853364467621,-0.03321679309010506,0.3547298312187195
weibull,15,1.5,0.0004930710463945346,0.2,8,16,3,32,2.3665856332713213e-05,40,0.03986386954784393,0.04624947905540466,0.08025582879781723,0.10612425953149796,0.10099633783102036,0.07554866373538971,0.2611728012561798
weighted_mse,15,2.75,0.0007260592840420148,0.3,8,32,3,32,8.547937535924094e-05,5,0.03564511984586716,0.04333759844303131,0.07656734436750412,0.10155070573091507,0.11165856570005417,0.05976003035902977,0.3635926842689514
weibull,45,2.75,3.100510228507854e-05,0.3,8,32,3,32,3.7715146040406295e-06,20,0.17496438324451447,0.1778215616941452,0.06623086333274841,0.0836443081498146,0.12698374688625336,-0.026794113218784332,0.3282487988471985
weibull,28,3.5,4.8234280196363635e-05,0.3,8,32,2,32,2.3258987332381463e-06,40,0.12411543726921082,0.12812267243862152,0.06361900269985199,0.08442024886608124,0.11270947009325027,-0.012118217535316944,0.3351573050022125
huber,5,2,0.00012320480297881286,0.2,8,16,2,32,3.836306026137956e-06,5,0.03663795441389084,0.043383244425058365,0.09107322245836258,0.11636019498109818,0.12642836570739746,0.08271053433418274,0.3358847200870514
huber,28,1.5,4.4397838593923335e-05,0.2,8,32,2,32,0.0006845407226904274,20,0.11194191128015518,0.11648672819137573,0.06300300359725952,0.08439674973487854,0.10792212933301926,0.0008079534163698554,0.34647834300994873
weighted_mse,28,2,1.8404665477707647e-05,0.3,8,32,2,32,1.5622988706670684e-05,5,0.19122064113616943,0.1961350291967392,0.0684477761387825,0.08644603937864304,0.13732005655765533,-0.02962036244571209,0.32965657114982605
huber,28,2.75,0.0006649376409939081,0.1,8,32,2,32,9.151507989742825e-06,5,0.02036481350660324,0.03253605589270592,0.09043675661087036,0.1170554906129837,0.1184416115283966,0.07738728076219559,0.36597758531570435
weighted_mse,15,1.5,0.0002593002555854689,0.3,8,32,2,32,5.923806432988141e-06,20,0.08122860640287399,0.0867806151509285,0.06615348160266876,0.08925177156925201,0.09769684076309204,0.03052716702222824,0.3825526237487793
huber,45,2.75,0.0004427924067312201,0.1,8,16,2,32,5.63613516861908e-06,40,0.028044819831848145,0.04118575528264046,0.07502450048923492,0.10481488704681396,0.09738646447658539,0.052389901131391525,0.34709835052490234
weibull,28,3.5,1.5688465452192284e-05,0.1,8,16,3,32,0.0002837383603517339,40,0.14397676289081573,0.14748047292232513,0.07459606230258942,0.09390073269605637,0.09880297631025314,-0.04111699387431145,0.46714287996292114
weibull,45,3.5,0.00023131221739959573,0.2,8,16,2,32,2.8432729512346237e-05,5,0.02177317626774311,0.03363629803061485,0.08759181201457977,0.11294816434383392,0.11707081645727158,0.06772437691688538,0.36381787061691284
weighted_mse,28,1.5,0.0005214081359156636,0.3,8,32,2,32,0.00011651674657552871,20,0.06039005517959595,0.06910014897584915,0.06554155796766281,0.09111626446247101,0.09500586986541748,0.02684219926595688,0.408511221408844
weighted_mse,15,3.5,3.536437056691666e-05,0.3,8,16,3,32,0.00023123450552265512,40,0.11905285716056824,0.12295086681842804,0.054754696786403656,0.08053518086671829,0.0996473953127861,0.013401567935943604,0.32690155506134033
huber,28,2.75,1.4876076791262064e-05,0.3,8,32,3,32,8.099602466109847e-06,20,0.11209242790937424,0.12031049281358719,0.08363697677850723,0.10210485011339188,0.13121530413627625,-0.02025707997381687,0.349902480840683
weighted_mse,5,1.5,3.4110427226614956e-05,0.1,8,16,3,32,1.3644149969542413e-06,10,0.10941813886165619,0.11389105767011642,0.05477367714047432,0.08102841675281525,0.10290209949016571,0.02649562433362007,0.32513073086738586
weighted_mse,28,3.5,0.0001494299765052671,0.2,8,32,2,32,0.0008659070402091582,20,0.11947537958621979,0.12379515916109085,0.0584438256919384,0.08086293935775757,0.09071007370948792,-0.001593938679434359,0.3971278667449951
weighted_mse,45,2.75,4.811325249018888e-05,0.2,8,16,3,32,6.57514817086098e-05,40,0.18596991896629333,0.18895341455936432,0.07286737114191055,0.08958791941404343,0.09184841811656952,-0.04262116178870201,0.3932952880859375
weibull,5,3.5,6.40462345199178e-05,0.1,8,32,2,32,0.0007230945584099542,10,0.04749158024787903,0.053654883056879044,0.0779411792755127,0.10258577764034271,0.15299758315086365,0.05364961549639702,0.41542479395866394
huber,28,3.5,0.000283719050970569,0.1,8,32,2,32,7.676417789264593e-05,40,0.03905243054032326,0.04849458858370781,0.07138199359178543,0.09841341525316238,0.09653858095407486,0.04332636669278145,0.387961745262146
weighted_mse,5,3.5,2.2145763632417668e-05,0.2,8,16,2,32,4.929523271605366e-06,10,0.16653667390346527,0.1719300001859665,0.058950405567884445,0.08043070882558823,0.11319050192832947,-0.01339284423738718,0.35011035203933716
weibull,28,3.5,1.640946577888764e-05,0.3,8,32,2,32,1.968306683126748e-06,40,0.13787278532981873,0.14179477095603943,0.06392284482717514,0.08541296422481537,0.12028183043003082,-0.016918282955884933,0.33921122550964355
