loss_fn,kappa,alpha,lr,dropout,patch_size,batch_size,n_layers,base_channels,weight_decay,global_mae,global_rmse,city_mae,city_rmse,train_city_rmse,city_underprediction,pred_max
huber,15,2.75,0.00031832291158955287,0.1,8,32,2,32,2.2795697591827054e-05,0.0308045856654644,0.038703370839357376,0.10316179692745209,0.12860450148582458,0.14531414210796356,0.1023176833987236,0.20342615246772766
huber,5,2,0.000223723364942274,0.3,8,16,2,32,9.39520973807068e-05,0.023100392892956734,0.03217350319027901,0.10506971925497055,0.12894348800182343,0.1558372527360916,0.10164795815944672,0.24396492540836334
huber,28,2,0.0005349207244194099,0.2,8,16,2,32,2.341277407332836e-06,0.019536474719643593,0.03147919848561287,0.11153344810009003,0.1355820894241333,0.1505112498998642,0.1092444583773613,0.25742819905281067
weibull,28,2,8.311836793536341e-05,0.1,8,16,3,32,3.4637485055993425e-05,0.08735129237174988,0.09164212644100189,0.06919826567173004,0.09987644851207733,0.14807049930095673,0.06114243343472481,0.2229711413383484
weighted_mse,45,2.75,9.536461616601486e-05,0.1,8,32,2,32,3.38387549727292e-05,0.13305777311325073,0.137176513671875,0.05573031306266785,0.08230792731046677,0.1403045952320099,0.01650754176080227,0.2958349883556366
weibull,15,2,0.0008400959014635987,0.3,8,32,2,32,0.00011033514201129784,0.02632352150976658,0.03686172142624855,0.08822307735681534,0.11940736323595047,0.15431615710258484,0.07827900350093842,0.21349143981933594
weibull,5,2,1.9035238635066673e-05,0.2,8,16,3,32,5.306642731405858e-06,0.13249607384204865,0.13818515837192535,0.07793101668357849,0.09879495203495026,0.2146293967962265,-0.03355679288506508,0.465054988861084
weighted_mse,5,2,0.00018295400743850056,0.2,8,16,3,32,0.0009894099800044857,0.028839802369475365,0.03661452978849411,0.10004963725805283,0.12347663193941116,0.13400544226169586,0.09496153891086578,0.30670785903930664
weibull,28,2.75,0.00012059738453666532,0.2,8,32,3,32,1.1105520449996128e-05,0.1361272633075714,0.13971681892871857,0.05605720728635788,0.08136782795190811,0.15462587773799896,0.007650331128388643,0.2861658036708832
weibull,28,3.5,1.5056390462358358e-05,0.2,8,32,3,32,0.000264921911756877,0.16147325932979584,0.16474232077598572,0.05531976372003555,0.08089660853147507,0.1631467491388321,4.123518374399282e-05,0.3216058611869812
weighted_mse,5,3.5,3.184773031555333e-05,0.2,8,16,3,32,0.00034651889984845826,0.12250781059265137,0.12620578706264496,0.05647147446870804,0.08944530040025711,0.14576278626918793,0.03947512060403824,0.2414257526397705
weibull,15,2,4.543712415757868e-05,0.1,8,16,2,32,0.000349361187012931,0.14002500474452972,0.1441512256860733,0.05555673688650131,0.08157920837402344,0.14646412432193756,0.010973709635436535,0.2663626968860626
huber,28,2.75,0.00010505069640414992,0.1,8,32,2,32,7.4442382489191e-05,0.07574788480997086,0.08098530024290085,0.07200413942337036,0.09976380318403244,0.14979681372642517,0.0573231503367424,0.2827780246734619
weibull,5,2.75,0.000179013729992794,0.2,8,16,2,32,3.0330876531328374e-06,0.030571039766073227,0.03928805887699127,0.1400528848171234,0.16003482043743134,0.20065155625343323,0.1400528848171234,0.1240084171295166
weibull,15,1.5,0.00013723742007750163,0.3,8,32,3,32,1.1116943507265352e-06,0.12231167405843735,0.12584009766578674,0.05558982864022255,0.09079122543334961,0.16059482097625732,0.04558757692575455,0.2127164602279663
weibull,45,2.75,0.00019677702672334885,0.2,8,32,3,32,1.807259518344615e-05,0.07688204199075699,0.08143044263124466,0.08100984990596771,0.11162669211626053,0.152023047208786,0.07836099714040756,0.19891893863677979
huber,15,2,9.003661728333145e-05,0.2,8,32,2,32,1.6611850930343702e-06,0.1221362054347992,0.12631694972515106,0.05566062778234482,0.0851559042930603,0.15698587894439697,0.03140529990196228,0.24925249814987183
weibull,15,2,0.0007243987116726281,0.3,8,32,2,32,2.8194914546201403e-06,0.019257398322224617,0.03125588223338127,0.09774845093488693,0.12446791678667068,0.1470215916633606,0.08979546278715134,0.25262027978897095
weighted_mse,45,2,0.0003450413598574194,0.3,8,32,3,32,9.279925420073916e-05,0.04224831238389015,0.04922640696167946,0.10304950177669525,0.13043667376041412,0.14074237644672394,0.09534858912229538,0.23236945271492004
weighted_mse,15,2,5.772454192852552e-05,0.1,8,32,3,32,0.00033643262513890083,0.2592460513114929,0.2856844365596771,0.07930617779493332,0.09670265018939972,0.13419348001480103,-0.04600466787815094,0.999836802482605
huber,45,1.5,2.7232165224733173e-05,0.3,8,32,3,32,2.3922292799196532e-05,0.11966943740844727,0.1236402690410614,0.05911099910736084,0.09266842156648636,0.1746307909488678,0.04420850798487663,0.2493111789226532
weighted_mse,15,1.5,3.5049132427783674e-05,0.3,8,16,2,32,1.5876966748053503e-06,0.22297585010528564,0.22817181050777435,0.07464592158794403,0.0924346074461937,0.15119870007038116,-0.03474503010511398,0.3791327476501465
weibull,15,3.5,8.175382250017208e-05,0.3,8,16,2,32,7.001894663526901e-05,0.09334710985422134,0.09790129959583282,0.06507288664579391,0.09673171490430832,0.15534451603889465,0.0555778443813324,0.2331441342830658
huber,5,2.75,0.0007079166970458028,0.3,8,16,2,32,5.089856647563739e-05,0.023094631731510162,0.03301827609539032,0.1205023005604744,0.1410946249961853,0.1600361466407776,0.119718998670578,0.21090145409107208
huber,5,3.5,0.00016026542910336386,0.1,8,32,2,32,1.0977820747896834e-06,0.0370442196726799,0.04394939914345741,0.10062175244092941,0.12664999067783356,0.1495998054742813,0.09830683469772339,0.2345053255558014
